well_number,wl_id,latitude,longitude
MORR_0052519,560584,45.83659,-119.618904
MORR_0052520,560585,45.836676,-119.618963
MORR_0052521,560586,45.836703,-119.61949
MORR_0052522,560587,45.836604,-119.61914
MORR_0052523,560588,45.836655,-119.619166
MORR_0052524,560589,45.836576,-119.619176
MORR_0052525,560590,45.83668,-119.618961
MORR_0052526,560591,45.836719,-119.61892
MORR_0052527,560592,45.836672,-119.61894
MORR_0052528,560593,45.836721,-119.619011
MORR_0052529,560594,45.836743,-119.619178
MORR_0052530,560668,45.884769,-119.51286547
MORR_0052531,560839,45.89193189,-119.53449784
MORR_0052532,561957,45.8597,-119.6571
MORR_0052533,561958,45.85893614,-119.65702056
MORR_0052534,561960,45.8588,-119.6531
MORR_0052535,561961,45.8586,-119.6531
MORR_0052536,562192,45.90249784,-119.51829166
MORR_0052537,562376,45.8189252,-119.71858634
MORR_0052552,562658,45.90602246,-119.53451692
MORR_0052553,563814,45.661188,-119.455944
MORR_0052554,564620,45.88831101,-119.53446486
MORR_0052555,564742,45.851114,-119.676439
MORR_0052556,564744,45.850666,-119.676916
MORR_0052557,565008,45.82987639,-119.65671302
MORR_0052558,565542,45.90612294,-119.51831192
MORR_0052559,565637,45.88116563,-119.50588083
MORR_0052562,566760,45.78471255,-119.73774323
MORR_0052565,567401,45.91002254,-119.4347276
MORR_0052566,567402,45.87752153,-119.51278992
MORR_0052567,569151,45.85175811,-119.62590469
MORR_0052568,569164,45.85175811,-119.62590469
MORR_0052569,569167,45.85175811,-119.62590469
MORR_0052570,569168,45.85175811,-119.62590469
MORR_0052571,569169,45.85175811,-119.62590469
MORR_0052572,569171,45.85175811,-119.62590469
MORR_0052573,569172,45.85175811,-119.62590469
MORR_0052574,569173,45.85175811,-119.62590469
MORR_0052575,569916,45.86356,-119.61367
MORR_0052576,569932,45.88408,-119.49733
MORR_0052577,570218,45.8563261,-119.6464715
MORR_0052578,570219,45.86437,-119.609
MORR_0052579,570220,45.8578803,-119.6138773
MORR_0052580,570221,45.85224,-119.639
MORR_0052581,570302,45.82625403,-119.66189784
MORR_0052583,570340,45.82985072,-119.68772253
MORR_0052585,570405,45.82987722,-119.6618895
MORR_0052586,571554,45.85552222,-119.6449
MORR_0052587,571555,45.85580833,-119.64423889
MORR_0052588,571556,45.85641667,-119.643425
MORR_0052589,571557,45.85585278,-119.64279167
MORR_0052590,571558,45.85538611,-119.64306944
MORR_0052591,571559,45.85484167,-119.64445833
MORR_0052592,571560,45.85500278,-119.64247222
MORR_0052593,571561,45.85498889,-119.64221667
MORR_0052594,571562,45.85503056,-119.64373333
MORR_0052595,571563,45.85476667,-119.64258056
MORR_0052597,571924,45.68482647,-119.59862187
MORR_0052598,572837,45.89561983,-119.45026457
MORR_0052600,573482,45.83011889,-119.76756078
MORR_0052603,576292,45.88279444,-119.49520278
MORR_0052604,578061,45.89193189,-119.53449784
MORR_0052605,578062,45.89191086,-119.53989777
MORR_0052607,578870,45.8374888,-119.6293928
MORR_0052608,578871,45.84488,-119.6329401
MORR_0052609,578872,45.8494809,-119.6512264
MORR_0052610,578873,45.8439089,-119.6493162
MORR_0052630,579903,45.8603,-119.61612
MORR_0052631,579904,45.85704,-119.60196
MORR_0052633,580081,45.86037222,-119.657775
MORR_0052634,580082,45.86037222,-119.657775
MORR_0052635,580083,45.85068611,-119.61196667
MORR_0052636,580084,45.85050833,-119.61195278
MORR_0052638,580309,45.815325,-119.812082
MORR_0052640,581324,45.846,-119.6166
MORR_0052641,581325,45.846,-119.6179
MORR_0052642,581326,45.8456,-119.6179
MORR_0052643,581327,45.8447,-119.6197
MORR_0052644,581328,45.8443,-119.6164
MORR_0052645,581329,45.8438,-119.6157
MORR_0052646,581330,45.8433,-119.616
MORR_0052647,581331,45.8441,-119.6144
MORR_0052648,581332,45.8448,-119.6153
MORR_0052649,581333,45.845,-119.6146
MORR_0052650,581334,45.846,-119.6157
MORR_0052651,581335,45.8464,-119.6159
MORR_0052652,581336,45.8467,-119.6143
MORR_0052653,581337,45.8472,-119.6155
MORR_0052654,581836,45.86323056,-119.61598889
MORR_0052655,581837,45.86196944,-119.6168
MORR_0052656,581838,45.86136111,-119.61922778
MORR_0052657,581839,45.863125,-119.61906667
MORR_0052658,581840,45.86120278,-119.62105
MORR_0052659,581841,45.86230556,-119.62114444
MORR_0052660,581842,45.863575,-119.62113611
MORR_0052661,581843,45.86120278,-119.62271944
MORR_0052662,581844,45.86222778,-119.62274722
MORR_0052663,581845,45.86381389,-119.62261389
MORR_0052664,581846,45.86381389,-119.62261389
MORR_0052665,581847,45.86229444,-119.62469167
MORR_0052666,581848,45.86375278,-119.62483611
MORR_0052667,581849,45.86116944,-119.62608611
MORR_0052668,581850,45.86260278,-119.62609722
MORR_0052669,581851,45.86378056,-119.62617222
MORR_0052672,592594,45.84984722,-119.69091944
MORR_0052676,592691,45.8576852,-119.6074563
MORR_0052677,592692,45.8589519,-119.6089781
MORR_0052678,592693,45.8589631,-119.6076061
MORR_0052679,592694,45.8576326,-119.6089526
MORR_0052681,593486,45.8488,-119.693255
MORR_0052682,593487,45.8488,-119.693255
MORR_0052683,593488,45.8488,-119.693255
MORR_0052684,593489,45.8488,-119.693255
MORR_0052685,593490,45.8488,-119.693255
MORR_0052686,593491,45.8488,-119.693255
MORR_0052687,593492,45.8488,-119.693255
MORR_0052688,593493,45.8488,-119.693255
MORR_0052689,593494,45.8488,-119.693255
