well_number,wl_id,latitude,longitude
UMAT_0058570,571277,45.886375,-119.31747
UMAT_0058597,573096,45.813523,-119.331322
UMAT_0058629,574314,45.8897,-119.28624
UMAT_0058630,574351,45.83234,-119.33956
UMAT_0058673,578559,45.83718331,-119.32919325
UMAT_0058674,578579,45.82213,-119.30875
UMAT_0058675,578580,45.82109154,-119.30745843
UMAT_0058676,578581,45.8215925,-119.30521475
UMAT_0058681,579197,45.83601844,-119.31935089
UMAT_0058770,580756,45.87638535,-119.30395478
UMAT_0058867,593158,45.81014,-119.42627
UMAT_0058907,596870,45.8373242,-119.2648892
UMAT_0058915,596951,45.878854,-119.352179
UMAT_0058916,596952,45.850349,-119.275164
UMAT_0058949,597241,45.79970587,-119.36981717
UMAT_0058950,597242,45.799688,-119.3706286
UMAT_0058987,598651,45.89895817,-119.31273847
UMAT_0058988,598946,45.83636426,-119.3358449
UMAT_0058993,599100,45.793545,-119.314297
UMAT_0059045,601502,45.84105028,-119.3555408
UMAT_0059059,602010,45.87020025,-119.31730545
UMAT_0059064,602457,45.827317,-119.348258
UMAT_0059065,602458,45.8753752,-119.3109253
UMAT_0059066,602459,45.826397,-119.349243
UMAT_0059067,602460,45.825618,-119.348398
UMAT_0059068,602461,45.8215254,-119.3092811
UMAT_0059100,605217,45.87113777,-119.29729885
UMAT_0059107,605555,45.90581778,-119.40416965
UMAT_0059108,605556,45.86726,-119.2560714
UMAT_0059117,606006,45.896463,-119.305477
UMAT_0059119,607259,45.8916765,-119.3414602
UMAT_0059120,607260,45.8929097,-119.3414512
UMAT_0059121,607261,45.8074052,-119.2689313
UMAT_0059122,607262,45.8916856,-119.3433297
UMAT_0059123,607263,45.892861,-119.3432573
UMAT_0059124,607264,45.8065037,-119.2688864
UMAT_0059125,607265,45.806526,-119.2710281
UMAT_0059127,607275,45.84633487,-119.25190246
UMAT_0059138,608260,45.8790413,-119.2935989
UMAT_0059140,608263,45.8167136,-119.3216736
UMAT_0059159,608937,45.83309016,-119.28018636
UMAT_0059168,609850,45.8356149,-119.33557665
UMAT_0059170,609951,45.79732432,-119.35751473
UMAT_0059179,610496,45.8995032,-119.285566
UMAT_0059202,611673,45.8219928,-119.30931831
UMAT_0059203,611769,45.83969095,-119.34950576
UMAT_0059214,612738,45.875997,-119.2966077
UMAT_0059223,614281,45.6711083,-119.3865928
UMAT_0059246,615920,45.827408,-119.3214097
UMAT_0059247,616014,45.8036986,-119.37799761
UMAT_0059248,616015,45.8027212,-119.3816659
UMAT_0059249,616016,45.8026992,-119.3799838
UMAT_0059250,616017,45.80374,-119.3816632
UMAT_0059260,617058,45.82567134,-119.28501973
UMAT_0059274,617707,45.81338199,-119.26142042
UMAT_0059275,617711,45.86547211,-119.30123972
UMAT_0059312,619163,45.9088254,-119.4059952
UMAT_0059313,619166,45.8074603,-119.2814257
UMAT_0059314,619167,45.8062894,-119.281484
UMAT_0059316,619169,45.8063004,-119.2797071
UMAT_0059391,622691,45.81789357,-119.30913416
UMAT_0059397,623704,45.9091417,-119.4314088
UMAT_0059398,623705,45.8176476,-119.3272003
UMAT_0059430,625516,45.806549,-119.272796
UMAT_0059492,629154,45.86861551,-119.3095167
UMAT_0059496,629433,45.855002,-119.2636306
UMAT_0059568,630512,45.9218302,-119.3222214
UMAT_0059604,631239,45.8368687,-119.2664228
UMAT_0059641,631585,45.88475809,-119.28352366
